"","Tag","ChlorA","ChlorB","gluc_Conc","flav_Conc","Family","treatment","gh_row","gh_bench","GM_TotalLeaf_Area","comp_number","ThripsDam","WhiteFungDam","BlackPathDam","Fern","gh_col","GM_Leaf_Area","Latitude","Longitude","Altitude","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","Row_Field","Col_Field","Maple_Died","Maple_TotalLeafArea_End","GM_Fecundity","MapleFinalMass","RGR1","NumberOfSamples","maple_height_0","maple_leaf_length_0","maple_leaves_0","Maple_StemHeight_End","Maple_LeafNum_End","MapleDamage","GreenhouseSurvival","WhiteFungLogis","Bolt_Survival","Maple_SurvivalY2","Maple_SurvivalY1","GM_Fecundity2","PCCG_1","PCCG_2","PC1BoltSize","GM_FecundityMS","PCCG_1_T","PCCG_2_T","GM_Fecundity2MS"
"1","a|BWPEM1-9-0|Q|1",NA,NA,NA,NA,"BWPEM1","a",18,4,6578,NA,NA,NA,NA,0,4,NA,37.373261,-80.524986,1156,NA,NA,NA,NA,6,3,"",NA,NA,NA,6.99306847390373e-07,1,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0
"2","a|BWPEM1-9-0|Q|2",-1.53414173044749,0.0911471725,-2.02796104261687,-2.37785853011555,"BWPEM1","a",17,3,8044,NA,2.09482737101321,0,0.346573590279973,0,4,4022,37.373261,-80.524986,1156,NA,NA,NA,NA,7,4,"",NA,NA,NA,1.04825567054306e-06,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,-1.45393264305663,-0.252743651820219,NA,NA,-5.37416031722974,1.28476018674238,0
"3","a|BWPEM1-9-0|Q|3",NA,NA,NA,NA,"BWPEM1","a",18,4,5636,NA,NA,NA,NA,0,1,NA,37.373261,-80.524986,1156,NA,NA,NA,NA,6,3,"",NA,NA,NA,8.7592767710112e-07,1,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0
"4","a|CBMCK1-1-0|N|34",-1.34176806280704,0.13600239,-1.76865389489788,-2.47476276127364,"CBMCK1","gm",21,3,9224,81,1.31952866480763,1,0,0,3,2901,40.04498333,-105.2325,1606.9,NA,NA,NA,NA,4,3,"",NA,NA,NA,1.09586778792961e-06,2,NA,NA,NA,NA,NA,NA,1,"1",0,NA,NA,0,-0.51170869802651,0.0665810759817193,NA,NA,-4.43193637219962,1.60408491454432,0
"5","a|CBMCK1-1-0|N|35",-1.24036842726896,0.0262113775,NA,NA,"CBMCK1","m",1,3,8622,NA,0,0,0,0,6,2541,40.04498333,-105.2325,1606.9,30,5,10,9,4,1,"",2864,NA,0.64,3.59219851100652e-07,2,83,26,2,96,2,1,1,"0",1,1,1,NA,NA,NA,-1.57873873990775,NA,NA,NA,NA
"6","a|CBMCK1-1-0|N|36",-1.49138387831981,0.1204494125,-1.72360930382082,-2.33164790382322,"CBMCK1","m",5,1,12689,NA,1.15129254649702,0,0.549306144334055,0,5,3304.5,40.04498333,-105.2325,1606.9,NA,NA,NA,NA,8,4,"",8277,NA,0.39,1.89563242293417e-06,2,87,24,2,102,8,0.25,1,"0",0,1,1,0,-0.653969520160025,0.421521362162799,NA,NA,-4.57419719433313,1.9590252007254,0
"7","a|CRSOSO-3-40|Q|55",-0.160240737304147,-0.06457787,-1.31443159636253,-1.95967389179827,"CRSORO","a",10,3,10807,NA,1.44518587894808,1,0,0,4,3843.5,44.89568,-68.675117,59,NA,NA,NA,NA,2,2,"",NA,NA,NA,8.69897882503635e-07,2,NA,NA,NA,NA,NA,NA,1,"1",0,NA,NA,0,2.55040967990806,-0.755877203146554,NA,NA,-1.36981799426505,0.781626635416046,0
"8","a|CRSOSO-3-40|Q|56",-0.42830000700941,0.2130117175,-1.32002259217083,-2.20502012108427,"CRSORO","a",5,2,3755,NA,NA,1,2.95539832202026,0,1,1812.5,44.89568,-68.675117,59,NA,NA,NA,NA,7,2,"",NA,NA,NA,1.33568311845207e-06,2,NA,NA,NA,NA,NA,NA,1,"1",0,NA,NA,0,2.08897242735065,-0.330963509241629,NA,NA,-1.83125524682246,1.20654032932097,0
"9","a|CRSOSO-3-40|Q|57",-0.945715423750522,0.159733505,-1.53586910879701,NA,"CRSORO","gm",5,3,12641,54,0.346573590279973,0,0,0,1,3044.5,44.89568,-68.675117,59,NA,NA,NA,NA,1,4,"",NA,NA,NA,5.73278853070145e-07,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,0.707476036686255,-0.0121980027088255,NA,NA,-3.21275163748685,1.52530583585378,0
"10","a|CRSOSO-3-40|Q|58",-2.11937971854867,0.0682841699999999,-2.19601208705973,-2.71733692770069,"CRSORO","gm",12,2,6650,68,2.30258509299405,0,0,0,1,2162,44.89568,-68.675117,59,NA,NA,NA,NA,2,3,"",NA,NA,NA,5.29977776341279e-07,1,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,-2.83438990612375,0.293862771000979,NA,NA,-6.75461758029686,1.83136660956358,0
