Row_Field,Col_Field,Family,ID,Larg_Leaf_Len_Bolt,Larg_Leaf_Wid_Bolt,GM_StemHeight_Bolt,GM_Leaf_Number_Bolt,Sampler,Maple_Died
9,6,smi,449,12,15,63,8,Liisa,
9,6,dvg,106,12,11,28,4,Liisa,
9,6,crs,61,d,,,,Liisa,
9,6,smi,455,d,,,,Liisa,
9,6,pdv,410,d,,,,Liisa,
9,6,cwr,94,d,,,,Liisa,
9,6,jvc,226,d,,,,Liisa,
9,6,vrc,504,36,36,72,8,Liisa,
9,6,jbb,220,d,,,,Liisa,
9,6,sma,447,d,,,,Liisa,
9,6,jwb,265,d,,,,Liisa,
8,6,vrc,482,d,,,,Liisa,
8,6,mav,131,d,,,,Liisa,
8,6,cwr,98,d,,,,Liisa,
8,6,vrc,491,10,13,72,3,Liisa,
8,6,dvg,105,24,26,150,11,Liisa,
8,6,jbc,242,32,35,97,23,Liisa,
8,6,jbc,273,21,18,138,8,Liisa,
8,6,dvg,107,18,20,68,9,Liisa,
8,6,efc,144,d,,,,Liisa,
8,6,efc,147,d,,,,Liisa,
8,6,msm,367,d,,,,Liisa,
8,6,cwr,97,d,,,,Liisa,
9,5,jwb,260,d,,,,Liisa,Y
9,5,vrp,519,d,,,,Liisa,
9,5,efc,154,d,,,,Liisa,
9,5,smi,475,d,,,,Liisa,
9,5,vrp,518,d,,,,Liisa,
9,5,smi,474,d,,,,Liisa,
9,5,wss,574,d,,,,Liisa,
9,4,vsg,548,d,,,,Liisa,
9,4,kve,280,,,,,Liisa,
9,4,jwb,271,,,,,Liisa,
9,4,mhb,343,9,6,25,6,Liisa,
9,4,kve,294,15,16,54,6,Liisa,
9,4,dvg,117,,,,,Liisa,
9,4,bwp,13,26,26,64,8,Liisa,
9,4,vrp,511,,,,,Liisa,
9,4,msm,389,,,,,Liisa,
9,4,smi,478,,,,,Liisa,
9,4,bwp,19,,,,,Liisa,
9,4,bwp,10,,,,,Liisa,
9,4,msm,375,,,,,Liisa,
9,4,kve,278,,,,,Liisa,
9,3,crs,77,,,,,Liisa,
9,3,bwp,29,,,,,Liisa,
9,3,mhb,352,,,,,Liisa,
9,3,mhb,337,,,,,Liisa,
9,3,msm,378,,,,,Liisa,
9,3,smi,450,,,,,Liisa,
9,3,cwr,86,29,24,58,12,Liisa,
9,3,jwb,264,18,14,78,9,Liisa,
9,3,crs,51,20,21,85,10,Liisa,
9,2,cwr,93,16,17,69,9,Liisa,
9,2,dvg,104,,,,,Liisa,
9,2,bwp,11,,,,,Liisa,
9,2,smi,473,,,,,Liisa,
9,2,smi,463,,,,,Liisa,
9,2,dvg,130,8,8,18,8,Liisa,Y
9,2,jbc,225,11,10,48,7,Liisa,
9,2,crs,78,,,,,Liisa,Y
9,2,crs,76,,,,,Liisa,
9,2,vrp,514,,,,,Liisa,
8,5,jbc,248,,,,,Liisa,
8,5,cbm,46,,,,,Liisa,
8,5,mbs,i136,,,,,Liisa,
8,5,mav,323,,,,,Liisa,
8,5,vrc,501,21,20,60,9,Liisa,
8,5,jar,180,16,19,71,7,Liisa,
8,5,jar,161,,,,,Liisa,
8,5,jbb,203,,,,,Liisa,
8,5,cmb,42,15,12,62,7,Liisa,
8,5,rul,429,,,,,Liisa,
8,5,jbb,210,13,12,79,7,Liisa,
8,5,cwr,91,11,9,71,4,Liisa,
8,4,cbm,36,,,,,Liisa,
8,4,sma,434,,,,,Liisa,
8,4,kve,291,7,9,36,4,Liisa,
8,4,cbm,i115,16,12,43,15,Liisa,
8,4,cbm,i111,,,,,Liisa,
8,4,rul,430,,,,,Liisa,
8,4,kve,293,,,,,Liisa,
8,4,dvg,127,7,9,32,6,Liisa,
8,4,kve,279,12,12,120,8,Liisa,
8,4,kve,292,,,,,Liisa,
8,4,crs,53,,,,,Liisa,
8,3,vsg,539,,,,,Liisa,
8,3,wss,550,,,,,Liisa,
8,3,msm,369,,,,,Liisa,
8,3,bwp,9,,,,,Liisa,
8,3,jbb,215,12,10,71,7,Liisa,
8,3,bwp,22,7,9,55,5,Liisa,
8,3,mav,322,21,22,53,9,Liisa,
8,3,vsg,544,8,8,46,5,Liisa,
8,3,nsl,i140,,,,,Liisa,
8,3,efc,145,,,,,Liisa,
8,3,dvg,125,14,13,80,8,Liisa,
8,3,cwr,88,38,38,95,13,Liisa,
8,3,wss,551,,,,,Liisa,
8,2,sma,441,4,5,9,1,Liisa,
8,2,jar,179,13,12,68,6,Liisa,
8,2,jar,189,,,,,Liisa,
8,2,jwb,267,,,,,Liisa,
8,2,smi,i153,,,,,Liisa,
8,2,crs,54,8,6,33,4,Liisa,
8,2,bwp,31,,,,,Liisa,
8,2,mhn,358,,,,,Liisa,
8,2,crs,75,,,,,Liisa,
8,2,jbc,235,38,40,139,55,Liisa,
8,2,jwp,31,,,,,Liisa,
