gh_bench,gh_col,gh_row,Tag,treatment,leaf_length,true_leaves,new _code_needed? ,INTRA,MAPLE,,,Helper/date
,,,,,,,,comp_number,maple_leaf length,maple_height,maple_#_leaves,Mia and Rich (with Caliper) 
1,3,1,e|WSSWM3-3-80|V|i163,a,8.5,3,n,,,,,Mia and Rich (with Caliper) 
1,4,1,a|JBBLB2-1-20|Q|194,m,13,2,n,,36.5,86,2,Mia and Rich (with Caliper) 
1,5,1,a|MAVBEL2-1-20|N|308,a,12,3,y,,,,,Mia and Rich (with Caliper) 
1,6,1,a|CWRIC2-X2|Q|100,m,3,2,y,,12,106,2,Mia and Rich (with Caliper) 
1,1,2,c|SMITH1-20|Q|468,m,4,2,y,,41,95.5,2,Mia and Rich (with Caliper) 
1,2,2,c|DVGM-20|Q|119,a,8,3,n,,,,,Mia and Rich (with Caliper) 
1,3,2,d|MAVBEL2-1-20|N|321,a,13,3,n,,,,,Mia and Rich (with Caliper) 
1,4,2,c|JARI1-1-80|Q|177,a,12,2,n,,,,,Mia and Rich (with Caliper) 
1,5,2,d|NSLJU1-4-0|V|i142,a,12,3,n,,,,,Mia and Rich (with Caliper) 
1,6,2,c|EFCC2-4-80|Q|149,a,12,2,,,,,,Mia and Rich (with Caliper) 
1,1,3,e|JWBOY-2-80|Q|269,m,18,3,,,53,99,1,Mia and Rich (with Caliper) 
1,2,3,b|SMAKC1-B|N|436,m,11,4,y,,33,75,2,Mia and Rich (with Caliper) 
1,3,3,d|CRSOSO-3-40|Q|66,a,12,3,,,,,,Mia and Rich (with Caliper) 
1,4,3,e|JWBOY-2-80|Q|268,m,13,3,y,,35,104,2,Mia and Rich (with Caliper) 
1,5,3,e|WSSWM3-1-0|Q|575,m,14,2,,,25,74,2,Mia and Rich (with Caliper) 
1,6,3,a|SMAKC1-B|N|433,gm,14,4,,85,,,,Mia and Rich (with Caliper) 
1,6,3,a|SMITH1-20|Q|451,gm,13,3,,85,,,,Mia and Rich (with Caliper) 
1,2,4,d|CRSOSO-3-40|Q|62,a,15,3,,,,,,Mia and Rich (with Caliper) 
1,4,4,d|MSMID1-1-20|Q|390,m,6,2,,,34,77,2,Mia and Rich (with Caliper) 
1,5,4,e|BWPEM1-9-0|Q|28,a,11,2,,,,,,Mia and Rich (with Caliper) 
1,6,4,b|EFCC2-4-80|Q|142,a,7,2,,,,,,Mia and Rich (with Caliper) 
1,3,5,d|JARI1-1-80|Q|178,m,7,2,,,25,103,2,Mia and Rich (with Caliper) 
1,4,5,c|KVEDG1-1-80|Q|283,m,4,2,y,,49,130,2,Mia and Rich (with Caliper) 
1,5,5,a|CBMCK1-1-0|N|36,m,7,2,y,,24,87,2,Mia and Rich (with Caliper) 
1,6,5,a|JARI1-1-80|Q|163,gm,4,2,,24,,,,Mia and Rich (with Caliper) 
1,6,5,e|RULEB1-20|N|427,gm,13,4,,24,,,,Mia and Rich (with Caliper) 
1,6,6,e|PDVRT1-20|Q|419,a,12,2,,,,,,Mia and Rich (with Caliper) 
1,5,6,c|KVEDG1-1-80|Q|290,m,10,2,,,31,92,2,Mia and Rich (with Caliper) 
1,4,6,b|EFCC2-4-80|Q|140,m,10,3,y,,20,72,2,Mia and Rich (with Caliper) 
1,6,7,a|NSLJU1-4-0|V|i137,a,13,3,,,,,,Mia and Rich (with Caliper) 
1,5,7,a|MAVBEL2-1-20|N|306,a,13,3,,,,,,Mia and Rich (with Caliper) 
1,6,8,c|MHBUR1-4-20|Q|349,a,9,2,y,,,,,Mia and Rich (with Caliper) 
1,5,8,c|CWRIC2-X2|Q|92,m,10,2,y,,46,95,2,Mia and Rich (with Caliper) 
1,4,8,b|VRCAN-1-40|Q|483,m,13,2,,,39,75,2,Mia and Rich (with Caliper) 
1,5,9,a|JWBOY-2-80|Q|251,gm,11,3,,29,,,,Mia and Rich (with Caliper) 
1,5,9,d|JARI1-1-80|Q|182,gm,14,2,,29,,,,Mia and Rich (with Caliper) 
1,4,9,d|VSGARO1-1-0|Q|542,a,15,2,,,,,,Mia and Rich (with Caliper) 
1,6,10,d|KVEDG1-1-80|Q|295,m,9,3,,,34,90,4,Mia and Rich (with Caliper) 
1,5,10,d|VSGARO1-1-0|Q|540,m,4,2,y,,48,69,2,Mia and Rich (with Caliper) 
1,4,10,b|DVGM-20|Q|113,a,9,3,,,,,,Mia and Rich (with Caliper) 
1,6,11,d|SMAKC1-B|N|445,m,12,3,,,30,116,4,Mia and Rich (with Caliper) 
1,5,11,b|JARI1-1-80|Q|169,m,11,2,,,39,118,2,Mia and Rich (with Caliper) 
1,4,11,b|MHNAT1-2-0|Q|358,m,10,2,,,34,64,2,Mia and Rich (with Caliper) 
1,6,12,b|CRSOSO-3-40|Q|75,m,12,3,,,34,75,2,Mia and Rich (with Caliper) 
1,5,12,e|BWPEM1-9-0|Q|31,a,6,2,,,,,,Mia and Rich (with Caliper) 
1,4,12,e|CRSOSO-3-40|Q|54,a,15,3,,,,,,Mia and Rich (with Caliper) 
1,6,13,e|JARI1-1-80|Q|189,m,13,2,,,41,77,2,Mia and Rich (with Caliper) 
1,5,13,a|WSSWM3-1-0|Q|556,a,14,2,y,,,,,Mia and Rich (with Caliper) 
1,4,13,a|VRCAN-1-40|Q|489,a,9,3,y,,,,,Mia and Rich (with Caliper) 
1,6,14,a|JARI1-1-80|Q|162,gm,3,2,,23,,,,Mia and Rich (with Caliper) 
1,6,14,b|VRCAN-1-40|Q|490,gm,10,2,,23,,,,Mia and Rich (with Caliper) 
1,5,14,a|WSSWM3-1-0|Q|552,a,10,2,y,,,,,Mia and Rich (with Caliper) 
1,4,14,a|WSSWM3-1-0|Q|555,m,4,2,,,27,90,2,Mia and Rich (with Caliper) 
1,6,15,d|CRSOSO-3-40|Q|63,m,11,3,,,34,62,2,Mia and Rich (with Caliper) 
1,5,15,e|SEBRN-1-20|N|i152,a,8,3,y,,,,,Mia and Rich (with Caliper) 
1,4,15,a|SMITH1-20|Q|456,m,12,3,y,,35,85,2,Mia and Rich (with Caliper) 
1,6,16,c|NSLJU1-4-0|V|i141,a,12,1,,,,,,Mia and Rich (with Caliper) 
1,5,16,e|EFCC2-4-80|Q|157,m,9,3,,,12,78,2,Mia and Rich (with Caliper) 
1,4,16,d|MAVBEL2-1-20|N|325,m,15,3,,,21,92,2,Mia and Rich (with Caliper) 
1,6,17,c|MHBUR1-4-20|Q|352,a,14,3,y,,,,,Mia and Rich (with Caliper) 
1,5,17,a|MHBUR1-4-20|Q|337,m,10,2,,,56,103,2,Mia and Rich (with Caliper) 
1,4,17,e|BWPEM1-9-0|Q|29,a,11,2,,,,,,Mia and Rich (with Caliper) 
1,6,18,e|CRSOSO-3-40|Q|51,a,11,3,,,,,,Mia and Rich (with Caliper) 
1,5,18,b|MSMID1-1-20|Q|378,m,12,2,,,31,58,2,Mia and Rich (with Caliper) 
1,4,18,a|SMITH1-20|Q|450,m,13,3,,,43,96,4,Mia and Rich (with Caliper) 
1,6,19,e|JARI1-1-80|Q|190,m,13,2,,,22,79,2,Mia and Rich (with Caliper) 
1,5,19,d|VRPET2-3-20|Q|506,m,7,2,y,,45,57,2,Mia and Rich (with Caliper) 
1,1,1,e|VSGARO1-1-0|Q|547,gm,9,2,,78,,,,Mia and Rich (with Caliper) 
1,1,1,c|VRCAN-1-40|Q|494,gm,9,2,,78,,,,Mia and Rich (with Caliper) 
1,3,1,d|VRCAN-1-40|Q|500,m,12,2,y,,41,80,2,Mia and Rich (with Caliper) 
1,1,4,d|DSGAR1-3-60|V|i120,a,13,3,y,,,,,Mia and Rich (with Caliper) 
1,1,5,a|SMITH1-1-0|Q|i154,a,12,2,,,,,,Mia and Rich (with Caliper) 
1,2,5,b|SEBRN-1-20|N|i151,a,6,2,,,,,,Mia and Rich (with Caliper) 
1,1,6,b|VRCAN-1-40|Q|487,m,10,2,,,14,58,2,
1,2,6,d|CBMCK1-2-80|N|i109,a,10,2,y,,,,,
1,3,6,e|JWBOY-2-80|Q|266,a,11,4,,,,,,
1,1,7,d|NSRIB1-2-40|V|i144,a,7,2,,,,,,
1,2,7,c|MHBUR1-4-20|Q|340,m,11,2,y,,32,88,2,
1,3,7,b|WSSWM3-1-0|Q|560,m,10,3,y,,22,69,2,
1,1,8,a|SEBRN-1-20|N|i145,a,9,4,,,,,,
1,2,8,e|JARI1-1-80|Q|187,a,11,2,,,,,,
1,3,8,c|JARI1-1-80|Q|173,a,10,2,,,,,,
1,1,9,a|MHBUR1-4-20|Q|338,m,6,2,,,23,76,2,
1,2,9,b|MHBUR1-4-20|Q|354,a,5,2,y,,,,,
1,3,9,a|KVEDG1-1-80|Q|274,a,3,2,,,,,,
1,1,10,a|SMITH1-1-0|Q|i153,a,11,2,,,,,,
1,2,10,c|JBCHY1-1-50|Q|235,a,10,2,,,,,,
1,3,10,c|CWRIC2-X2|Q|95,a,6,2,,,,,,
1,1,11,b|PDVRT1-20|Q|406,a,8,3,,,,,,
1,2,11,c|SMAKC1-B|N|441,gm,11,4,,28,,,,
1,2,11,d|JARI1-1-80|Q|179,gm,12,2,,28,,,,
1,3,11,e|JWBOY-2-80|Q|267,a,12,3,,,,,,
1,1,12,b|DVGM-20|Q|114,m,9,2,y,,35,90,2,
1,3,12,d|JBCHY1-1-50|Q|238,gm,0,0,,76,,,,
1,3,12,d|JWBOY-2-80|Q|255,gm,11,3,,76,,,,
1,1,13,e|WSSWM3-1-0|Q|576,m,11,2,y,,41,96,2,
1,2,13,e|BWPEM1-9-0|Q|32,a,8,2,y,,,,,
1,3,13,b|MSMID1-1-20|Q|377,a,11,2,,,,,,
1,1,14,c|VRCAN-1-40|Q|498,m,16,3,,,20,62,2,
1,2,14,d|JWBOY-2-80|Q|261,a,12,3,,,,,,
1,3,14,b|MAVBEL2-1-20|N|312,m,8,3,y,,22,120,2,
1,1,15,d|MSMID1-1-20|Q|391,m,4,2,,,44,102,2,
1,2,15,e|SMITH1-1-0|Q|i159,a,6,2,,,,,,
1,3,15,c|MHBUR1-4-20|Q|344,m,8,3,y,,23,84,2,
1,1,16,b|CWRIC2-X2|Q|86,a,11,2,,,,,,
1,2,16,b|CRSOSO-3-40|Q|77,a,6,3,y,,,,,
1,1,17,b|CWRIC2-X2|Q|88,a,9,2,y,,,,,
1,2,17,e|JWBOY-2-80|Q|264,m,19,3,y,,25,76,2,
1,3,17,b|NSLJU1-4-0|V|i140,a,12,3,y,,,,,
1,1,18,b|MBSGF1-X1|N|i134,a,9,3,,,,,,
1,2,18,e|MAVBEL2-1-20|N|330,a,14,3,,,,,,
1,3,18,c|WSSWM3-1-0|Q|567,m,10,2,,,35,93,2,
1,1,19,c|MHBUR1-4-20|Q|335,m,13,3,y,,47,95,2,
1,2,19,c|MSMID1-1-20|Q|383,a,12,2,,,,,,
1,3,19,b|SMAKC1-B|N|438,a,15,3,,,,,,
2,1,1,a|VRPET2-3-20|Q|508,m,15,3,y,,46,116,2,
2,2,1,d|CRSOSO-3-40|Q|65,m,6,3,,,35,98,2,
2,3,1,a|KVEDG1-1-80|Q|276,a,13,3,y,,,,,
2,2,2,c|JBCHY1-1-50|Q|243,m,0,0,y,,34,113,2,
2,3,2,a|JWBOY-2-80|Q|257,m,14,3,y,,33,85,2,
2,1,3,a|WSSWM3-1-0|Q|553,m,16,2,,,30,85,2,
2,2,3,b|WSSWM3-1-0|Q|557,a,5,2,,,,,,
2,3,3,a|CWRIC2-X2|Q|83,a,11,2,,,,,,
2,1,4,b|VRCAN-1-40|Q|488,a,23,2,y,,,,,
2,2,4,a|SMAKC1-B|N|431,a,15,3,,,,,,
2,3,4,e|VSGARO1-1-0|Q|546,m,0,0,,,47,122,2,
2,1,5,a|CRSOSO-3-40|Q|56,a,9,2,y,,,,,
2,2,5,a|WSSWM3-1-0|Q|559,m,7,2,y,,27,144,2,
2,3,5,c|JWBOY-2-80|Q|252,a,16,2,y,,,,,
2,1,6,e|DVGM-20|Q|131,a,13,4,,,,,,
2,2,6,e|MAVBEL2-1-20|N|329,m,12,3,,,14,64,2,
2,3,6,c|VRCAN-1-40|Q|495,m,9,2,,,37,109,2,
2,1,7,b|JBBLB2-1-20|Q|202,m,0,0,,,43,94,2,
2,2,7,c|VRPET2-3-20|Q|520,m,12,4,y,,44,90,2,
2,3,7,d|VRPET2-3-20|Q|530,gm,11,2,,72,,,,
2,3,7,a|MSMID1-1-20|Q|370,gm,14,2,,72,,,,
2,1,8,d|BWPEM1-9-0|Q|17,a,12,2,,,,,,
2,3,8,b|JBBLB2-1-20|Q|204,a,2,1,,,,,,
2,1,9,e|JBBLB2-1-20|Q|218,a,15,2,,,,,,
2,2,9,b|JARI1-1-80|Q|167,m,13,2,,,39,67,2,
2,3,9,d|DVGM-20|Q|121,a,13,3,,,,,,
2,1,10,d|MSMID1-1-20|Q|396,a,14,2,y,,,,,
2,2,10,b|JKFRS1-6-0|V|i121,a,13,3,,,,,,
2,3,10,c|WSSWM3-1-0|Q|564,a,14,2,y,,,,,
2,1,11,c|VRCAN-1-40|Q|496,a,20,3,y,,,,,
2,2,11,b|VRCAN-1-40|Q|484,a,5,2,y,,,,,
2,3,11,b|CRSOSO-3-40|Q|73,gm,8,3,,88,,,,
2,3,11,b|MHBUR1-4-20|Q|346,gm,8,2,,88,,,,
2,1,12,a|CRSOSO-3-40|Q|58,gm,11,2,,68,,,,
2,1,12,d|VRPET2-3-20|Q|527,gm,8,3,,68,,,,
2,2,12,f|JBCHY1-1-50|Q|246,m,9,3,,,48,89,2,
2,1,13,b|CRSOSO-3-40|Q|76,m,10,3,,,42,86,2,
2,2,13,b|CRSOSO-3-40|Q|78,m,11,2,,,47,108,4,
2,3,13,d|VRPET2-3-20|Q|514,a,0,0,y,,,,,
2,1,14,c|JARI1-1-80|Q|175,m,12,2,,,35,92,2,
2,2,14,a|NSLJU1-4-0|V|i139,a,11,3,,,,,,
2,3,14,c|BWPEM1-9-0|Q|11,m,14,2,,,33,107,2,
2,1,15,e|WSSWM3-1-0|Q|572,a,13,2,y,,,,,
2,2,15,a|DVGM-20|Q|108,m,12,3,y,,33,115,2,
2,3,15,a|DVGM-20|Q|103,a,16,3,,,,,,
2,1,16,c|EFCC2-4-80|Q|148,a,17,2,y,,,,,
2,2,16,c|JBBLB2-1-20|Q|208,m,15,2,y,,29,124,2,
2,3,16,d|MAVBEL2-1-20|N|320,m,11,3,y,,29,75,2,
2,2,17,d|SMAKC1-B|N|443,gm,13,3,,66,,,,
2,2,17,e|PDVRT1-20|Q|415,gm,14,3,,66,,,,
2,3,17,b|MHBUR1-4-20|Q|353,a,8,2,y,,,,,
2,1,18,d|VRPET2-3-20|Q|525,a,12,2,y,,,,,
2,2,18,b|SMITH1-20|Q|462,gm,10,3,,26,,,,
2,2,18,a|JARI1-1-80|Q|159,gm,7,2,,26,,,,
2,3,18,d|SEBRN-1-20|N|i150,a,9,3,,,,,,
2,1,19,d|SMAKC1-B|N|435,m,17,4,y,,34,88,2,
2,2,19,b|VRPET2-3-20|Q|512,a,6,2,y,,,,,
2,3,19,e|VRCAN-1-40|Q|503,gm,14,3,,79,,,,
2,3,19,c|MHBUR1-4-20|Q|341,gm,6,2,y,,,,,
2,1,20,c|VRPET2-3-20|Q|519,a,5,4,,,,,,
2,2,20,d|VRPET2-3-20|Q|518,a,0,0,,,,,,
2,3,20,d|SMITH1-20|Q|474,m,2,2,,,36,99,1,
2,1,21,d|JWBOY-2-80|Q|260,m,15,3,y,,29,135,4,
2,2,21,a|DVGM-20|Q|105,gm,12,4,,59,,,,
2,2,21,c|VRCAN-1-40|Q|491,gm,1,2,,,,,,
2,6,1,d|JBBLB2-1-20|Q|213,a,10,2,,,,,,
2,5,1,c|JBCHY1-1-50|Q|230,a,10,2,,,,,,
2,4,1,c|JBCHY1-1-50|Q|229,gm,5,2,,37,,,,
2,4,1,b|MAVBEL2-1-20|N|311,gm,15,3,,,,,,
2,5,2,b|VRCAN-1-40|Q|481,gm,9,2,,80,,,,
2,5,2,e|MHNAT1-2-0|Q|365,gm,13,2,,80,,,,
2,4,2,d|EFCC2-4-80|Q|155,m,17,2,,,54,91,2,
2,6,3,d|CBMCK1-3-60|N|i114,a,12,3,,,,,,
2,5,3,c|SMITH1-20|Q|466,gm,16,3,,32,,,,
2,5,3,a|MAVBEL2-1-20|N|309,gm,17,3,,32,,,,
2,4,3,f|JBCHY1-1-50|Q|249,m,16,3,,,41,71,2,
2,6,4,b|DVGM-20|Q|112,m,10,3,y,,34,82,2,
2,4,4,a|RULEB1-20|N|421,a,12,3,,,,,,
2,6,5,d|CRSOSO-3-40|Q|64,m,13,3,y,,46,81,2,
2,5,5,a|SEBRN-1-20|N|i147,a,9,3,,,,,,
2,4,5,e|JWBOY-2-80|Q|270,a,20,3,,,,,,
2,6,6,e|MSMID1-1-20|Q|601,a,10,2,y,,,,,
2,5,6,c|SEBRN-1-20|N|i148,a,11,3,y,,,,,
2,4,6,c|DVGM-20|Q|115,m,18,3,,,37,88,2,
2,6,7,e|JARI1-1-80|Q|191,a,12,2,,,,,,
2,5,7,a|JARI1-1-80|Q|160,gm,15,2,y,27,,,,
2,5,7,d|MHBUR1-4-20|Q|351,gm,7,2,,27,,,,
2,4,7,d|SMITH1-20|Q|472,gm,15,2,y,82,,,,
2,4,7,b|MHBUR1-4-20|Q|347,gm,9,2,,82,,,,
2,6,8,c|MSMID1-1-20|Q|394,a,11,2,y,,,,,
2,4,8,b|MAVBEL2-1-20|N|315,m,11,3,,,22,80,2,
2,6,9,c|WSSWM3-1-0|Q|566,a,12,2,,,,,,
2,5,9,e|SMITH1-1-0|Q|i160,a,9,3,y,,,,,
2,4,9,d|JARI1-1-80|Q|184,m,10,2,y,,39,8,2,
2,6,10,c|SMITH1-20|Q|470,a,13,2,,,,,,
2,5,10,e|PDVRT1-20|Q|418,m,13,3,,,31,72,2,
2,4,10,a|JBBLB2-1-20|Q|195,m,14,3,,,22,77,2,
2,6,11,b|VRPET2-3-20|Q|515,a,5,3,,,,,,
2,5,11,b|VRPET2-3-20|Q|509,gm,4,3,,71,,,,
2,5,11,a|CWRIC2-X2|Q|82,gm,14,2,,71,,,,
2,4,11,d|BWPEM1-9-0|Q|20,m,18,2,y,,37,78,2,
2,6,12,c|JARI1-1-80|Q|176,a,18,2,y,,,,,
2,5,12,f|JBCHY1-1-50|Q|245,a,3,3,,,,,,
2,4,12,e|JKFRS1-6-0|V|i122,a,9,3,,,,,,
