Tag,Mass,Maple,Together,BigBag,MapleBag,RegGM,BigGM
a§JBBLB2/1/20§Q§194,6.64,y,,n,5.74,8.57,14.14
e§SMAKC1/B§N§447,14.29,n,,y,,,
a§MSMID1/1/20§Q§371,14.4,n,,y,,,
c§VRPET2/3/20§Q§517,12.1,n,,n,,,
c§JARI1/1/80§Q§175,6.08,y,,n,,,
b§CBMCK1/1/0§N§38,18.21,n,,n,,,
c§DSGAR1/3/60§V§i119,19.98,n,,n,,,
a§CWRIC2/X2§Q§100,6.28,y,,n,,,
b§BWPEM1/9/0§Q§7,6.62,y,,n,,,
a§JBBLB2/1/20§Q§198,6.84,y,,n,,,
c§EFCC2/4/80§Q§152,6.48,y,,n,,,
maple/cnt§5,6.92,y,,n,,,
maple/cnt§9,6.75,y,,n,,,
a§MAVBEL2/1/20§N§305,6.43,y,,n,,,
d§VSGARO1/1/0§Q§541,6.41,y,,n,,,
b§MHNAT1/2/0§Q§364,6.66,y,,n,,,
maple/cnt§1,9.06,y,,RegGM,,,
c§JBBLB2/1/20§Q§208,6.24,y,y,n,,,
c§JBBLB2/1/20§Q§208,7.06,n,y,MapleBag,,,
c§KVEDG1/1/80§Q§285,6.51,y,,n,,,
b§CWRIC2/X2§Q§89,6.38,y,,n,,,
maple/cnt§2,7.38,y,,n,,,
maple/cnt§6,6.66,y,,n,,,
d§VRCAN/1/40§Q§500,6.34,y,,n,,,
d§MAVBEL2/1/20§N§320,6.32,y,,n,,,
f§JBCHY1/1/50§Q§247,6.3,y,,n,,,
c§JBBLB2/1/20§Q§209,6.69,y,,n,,,
b§JBBLB2/1/20§Q§206,6.39,y,,n,,,
b§EFCC2/4/80§Q§142,15.53,n,,y,,,
e§JBBLB2/1/20§Q§220,14.41,n,,y,,,
c§MSMID1/1/20§Q§382,15.41,n,y,y,,,
c§MSMID1/1/20§Q§382,6.61,y,y,n,,,
e§DVGM/20§Q§127,14.42,n,,y,,,
e§JARI1/1/80§Q§190,18.44,n,,y,,,
