gh_bench,gh_row,gh_col,Tag,,treatment
5,1,1,c|MSMID1-2-0|Q|i47,,gm
5,1,5,a|MSMID1-2-0|Q|i34,,gm
5,1,1,a|SMITH1-3-80|Q|i87,,gm
5,1,5,e|SMITH1-3-80|N|i83,,gm
5,1,4,c|SMITH1-3-80|N|i101,,a
5,2,2,e|KVEDG1-8-60|Q|i22,,gm
5,2,2,a|MSMID1-2-0|Q|i30,,gm
5,2,1,d|SMITH1-3-80|N|i77,,a
5,3,1,e|KVEDG1-8-60|Q|i23,,gm
5,3,1,b|MSMID1-2-0|Q|i41,,gm
5,3,5,e|SMITH1-3-80|N|i98,,a
5,3,6,?|SMITH1-3-80|N|i68,,a
5,4,1,d|KVEDG1-8-60|Q|i15,,gm
5,4,2,e|KVEDG1-8-60|Q|i29,,gm
5,4,3,d|KVEDG1-8-60|Q|i17,,gm
5,4,1,a|SMITH1-3-80|N|i59,,gm
5,4,2,a|SMITH1-3-80|Q|i89,,gm
5,4,3,d|SMITH1-3-80|N|i79,,gm
4,4,3,c|SMITH1-1-0|Q|i156,,a
5,4,4,d|SMITH1-3-80|N|i74,,a
5,5,3,d|KVEDG1-8-60|Q|i16,,gm
5,5,3,e|SMITH1-3-80|N|i84,,gm
5,5,2,a|SMITH1-3-80|N|i61,,a
1,5,1,a|SMITH1-1-0|Q|i154,,a
5,6,5,b|KVEDG1-8-60|Q|i5,,a
5,6,3,c|KVEDG1-8-60|Q|i11,,m
5,6,2,c|SMITH1-3-80|N|i70,,a
5,6,4,b|SMITH1-3-80|N|i64,,m
5,7,5,b|KVEDG1-8-60|Q|i7,,m
5,7,3,b|KVEDG1-8-60|Q|i3,,m
5,8,4,c|KVEDG1-8-60|Q|i14,,a
5,8,5,b|KVEDG1-8-60|Q|i9,,a
5,8,2,c|KVEDG1-8-60|Q|i12,,m
5,8,1,c|SMITH1-3-80|N|i172,,m
5,9,1,a|MSMID1-2-0|Q|i37,,gm
5,9,1,e|SMITH1-3-80|N|i81,,gm
5,9,5,c|SMITH1-3-80|N|i71,,m
5,10,5,d|MSMID1-2-0|Q|i52,,a
5,10,4,c|MSMID1-2-0|Q|i49,,m
5,10,3,b|SMITH1-3-80|N|i67,,m
5,10,1,e|SMITH1-3-80|N|i97,,m
5,11,5,b|KVEDG1-8-60|Q|i4,,m
5,11,1,b|SMITH1-3-80|N|i66,,m
5,12,3,d|MSMID1-2-0|Q|i56,,a
5,12,1,b|MSMID1-2-0|Q|i40,,a
3,12,4,a|SMITH1-1-0|Q|i155,,a
