Genotype,GM_Leaf_Number,GM_Leaf_Len,GM_Leaf_Wid,ThripsDam,WhiteFungDam,BlackPathDam
b§MAVBEL2-1-20§N§312,leaf-2,length-70,width-74.png,28,1,0
b§SMAKC1-B§N§436,leaf-1,length-65,width-74.png,4,0,1
c§MHBUR1-4-20§Q§340,leaf-1,length-53,width-57.png,5,1,0
c§EFCC2-4-80§Q§152,leaf-2,length-75,width-85.png,4,0,1
e§VSGARO1-1-0§Q§545,leaf-1,length-53,width-45.png,3,2,0
b§CBMCK1-1-0§N§40,leaf-2,length-53,width-55.png,3,0,0
b§CWRIC2-X2§Q§86,leaf-2,length-69,width-70.png,13,0,0
a§WSSWM3-1-0§Q§552,leaf-1,length-56,width-55.png,1,0,0
d§CRSOSO-3-40§Q§68,leaf-2,length-69,width-76.png,0,0,3
e§MSMID1-1-20§Q§601,leaf-2,length-64,width-67.png,0,0,0
e§VSGARO1-1-0§Q§548,leaf-2,length-68,width-60.png,1,0,0
d§CRSOSO-3-40§Q§67,leaf-2,length-68,width-72.png,12,1,0
c§VRPET2-3-20§Q§522,leaf-1,length-58,width-63.png,2,0,0
c§JBBLB2-1-20§Q§208,leaf-1,length-43,width-34.png,0,0,0
b§VRPET2-3-20§Q§516,leaf-1,length-35,width-37.png,0,0,1
d§BWPEM1-9-0§Q§18,leaf-1,length-33,width-32.png,0,0,2
c§MHNAT1-2-0§Q§360,leaf-1,length-58,width-50.png,24,0,0
b|JBBLB2-1-20|Q|204,leaf-1,length-49,width-49.png,1,0,0
e§JWBOY-2-80§Q§267,leaf-2,length-64,width-70.png,7,0,0
c§MAVBEL2-1-20§N§317,leaf-1,length-45,width-45.png,0,0,0
b§VRCAN-1-40§Q§485,leaf-2,length-69,width-75.png,0,0,5
a§MAVELK-1-20§N§i126,leaf-2,length-45,width-37.png,1,0,0
e§WSSWM3-1-0§Q§576,leaf-1,length-41,width-32.png,0,0,0
c§CWRIC2-X2§Q§95,leaf-1,length-43,width-47.png,0,0,0
b§MBSGF1-X1§N§i134,leaf-2,length-64,width-68.png,8,0,0
e§SMITH1-1-0§Q§i158,leaf-1,length-45,width-43.png,0,0,0
e§JBBLB2-1-20§Q§221,leaf-2,length-66,width-71.png,0,0,3
d§CRSOSO-3-40§Q§62,leaf-1,length-37,width-45.png,0,0,0
c§MSMID1-1-20§Q§381,leaf-2,length-72,width-67.png,1,0,0
d§JWBOY-2-80§Q§254,leaf-1,length-51,width-49.png,0,0,0
a§CWRIC2-X2§Q§82,leaf-2,length-44,width-43.png,0,0,1
c§VRPET2-3-20§Q§517,leaf-1,length-51,width-46.png,0,0,1
e§MSMID1-1-20§Q§602,leaf-1,length-61,width-63.png,3,0,0
d§BWPEM1-9-0§Q§24,leaf-1,length-47,width-38.png,6,0,0
c§KVEDG1-1-80§Q§286,leaf-1,length-35,width-36.png,0,0,1
a§KVEDG1-1-80§Q§272,leaf-2,length-63,width-73.png,0,2,4
e§JBBLB2-1-20§Q§216,leaf-1,length-32,width-42.png,0,0,5
a§CWRIC2-X2§Q§100,leaf-1,length-69,width-71.png,4,3,0
a|CWRIC2-X2|Q|80,leaf-2,length-70,width-75.png,1,0,0
b§CRSOSO-3-40§Q§71,leaf-1,length-53,width-53.png,17,5,4
d§CBMCK1-3-60§N§i117,leaf-2,length-75,width-55.png,5,0,3
b§CRSOSO-3-40§Q§72,leaf-2,length-32,width-40.png,20,0,13
c§KVEDG1-1-80§Q§288,leaf-2,length-73,width-80.png,0,0,34
a§JWBOY-2-80§Q§257,leaf-2,length-63,width-67.png,0,0,0
d§CWRIC2-X2§Q§98,leaf-1,length-56,width-60.png,7,0,0
e§MAVELK-1-20§N§i128,leaf-1,length-50,width-40.png,15,0,0
d§VRPET2-3-20§Q§514,leaf-1,length-41,width-36.png,0,0,0
d§MAVBEL2-1-20§N§321,leaf-1,length-65,width-67.png,4,0,0
c§KVEDG1-1-80§Q§291,leaf-1,length-54,width-49.png,1,0,1
d§KVEDG1-1-80§Q§298,leaf-1,length-62,width-60.png,9,2,1
b§CRSOSO-3-40§Q§70,leaf-1,length-36,width-35.png,4,6,7
c§VRPET2-3-20§Q§520,leaf-1,length-63,width-57.png,0,2,0
e§JWBOY-2-80§Q§270,leaf-2,length-69,width-71.png,14,0,3
a§SMITH1-1-0§Q§i153,leaf-1,length-67,width-66.png,0,0,0
b§JBBLB2-1-20§Q§205,leaf-2,length-67,width-67.png,8,0,1
a§JBBLB2-1-20§Q§194,leaf-1,length-69,width-72.png,6,0,3
b§MHNAT1-2-0§Q§357,leaf-1,length-42,width-39.png,1,2,0
c§MHNAT1-2-0§Q§360,leaf-2,length-80,width-75.png,5,0,2
a§WSSWM3-1-0§Q§559,leaf-1,length-52,width-54.png,0,0,6
d§MSMID1-1-20§Q§392,leaf-2,length-55,width-64.png,7,0,0
c§JBCHY1-1-50§Q§231,leaf-1,length-40,width-40.png,0,0,4
c§JBCHY1-1-50§Q§232,leaf-1,length-45,width-40.png,0,0,0
c§WSSWM3-1-0§Q§567,leaf-1,length-62,width-61.png,33,0,0
e§RULEB1-20§N§429,leaf-2,length- 66,width-69.png,6,0,2
b§MAVBEL2-1-20§N§315,leaf-1,length-45,width-42.png,1,0,0
c§EFCC2-4-80§Q§148,leaf-2,length-60,width-65.png,10,0,2
d§JBCHY1-1-50§Q§273,leaf-1,length-37,width-31.png,10,0,0
c§EFCC2-4-80§Q§146,leaf-1,length-43,width-29.png,0,52,1
e§JWBOY-2-80§Q§264,leaf-1,length-60,width-58.png,0,0,0
b§BWPEM1-9-0§Q§4,leaf-2,length-45,width-42.png,8,0,0
c§KVEDG1-1-80§Q§283,leaf-1,length-52,width-56.png,0,2,0
