,X,Petri.Dish,Date_Moved_1,Total_Transplant_1,Hypocotyl_1,GA3,notes,Date_Moved_2,Total_Transplant_2,Hypocotyl_2,Date_Moved_3,Total_Transplant_3,Hypocotyl_3,mortality
1,1,a|BWPEM1-9-0|Q,19-04-26,3,3,NA,NA,NA,NA,NA,,NA,NA,NA
2,2,b|BWPEM1-9-0|Q,19-04-24,5,1,y,NA,NA,NA,NA,,NA,NA,NA
3,3,c|BWPEM1-9-0|Q,19-04-25,5,2,y,,19-04-25,4,2,,NA,NA,1
4,4,d|BWPEM1-9-0|Q,19-04-23,5,4,y,,19-04-24,6,1,,NA,NA,NA
5,482,e|BWPEM1-9-0|Q,19-03-08,1,1,y,,19-04-01,1,1,19-04-24,6,4,2
6,6,a|BWPEM2-3-80|Q,19-04-24,7,0,y,NA,NA,NA,NA,,NA,NA,1
7,7,b|BWPEM2-3-80|Q,19-04-25,3,3,y,NA,NA,NA,NA,,NA,NA,NA
8,8,c|BWPEM2-3-80|Q,19-04-24,5,5,y,one tiny non-gm,NA,NA,NA,,NA,NA,1
9,9,d|BWPEM2-3-80|Q,19-04-23,6,2,y,NA,NA,NA,NA,,NA,NA,NA
10,10,e|BWPEM2-3-80|Q,19-04-17,3,3,,NA,NA,NA,NA,,NA,NA,NA
11,11,a|BWPEM2-4-0|Q,19-04-26,5,5,y,NA,NA,NA,NA,,NA,NA,NA
12,12,b|BWPEM2-4-0|Q,19-03-07,1,1,,NA,19-04-02,3,2,,NA,NA,1
13,13,c|BWPEM2-4-0|Q,19-04-26,6,4,,NA,NA,NA,NA,,NA,NA,NA
14,14,d|BWPEM2-4-0|Q,19-04-26,7,7,y,NA,NA,NA,NA,,NA,NA,NA
15,15,e|BWPEM2-4-0|Q,19-04-26,7,6,y,NA,NA,NA,NA,,NA,NA,NA
16,16,a|BWPEM2-6-80|Q,19-04-24,7,2,y,NA,NA,NA,NA,,NA,NA,NA
17,17,b|BWPEM2-6-80|Q,19-04-26,7,7,y,NA,NA,NA,NA,,NA,NA,NA
18,18,c|BWPEM2-6-80|Q,19-04-24,6,3,y,NA,NA,NA,NA,,NA,NA,NA
19,20,e|BWPEM2-6-80|Q,19-04-24,5,1,y,NA,NA,NA,NA,,NA,NA,NA
20,21,a|BWPEM2-8-80|Q,19-04-25,5,1,y,NA,NA,NA,NA,,NA,NA,NA
21,24,d|BWPEM2-8-80|Q,19-04-18,6,6,y,NA,NA,NA,NA,,NA,NA,NA
22,25,e|BWPEM2-8-80|Q,19-04-15,6,5,y,NA,NA,NA,NA,,NA,NA,NA
23,396,a|CBMCK1-1-0|N,19-03-05,1,1,,,19-04-01,2,1,,NA,NA,1
24,397,b|CBMCK1-1-0|N,19-03-05,3,2,,0 is dead,19-03-26,4,4,,NA,NA,2
25,398,c|CBMCK1-1-0|N,19-03-05,3,3,,,19-04-13,1,0,19-04-26,1,1,1
26,399,d|CBMCK1-1-0|N,19-03-05,3,2,,,19-04-02,2,1,,NA,NA,2
27,400,e|CBMCK1-1-0|N,19-03-05,4,3,,,19-03-26,1,1,,NA,NA,3
28,406,a|CBMCK1-2-80|N,19-04-01,2,2,,,NA,NA,NA,,NA,NA,NA
29,407,b|CBMCK1-2-80|N,19-03-11,1,1,,,NA,NA,NA,,NA,NA,NA
30,408,c|CBMCK1-2-80|N,19-03-06,2,1,,,19-03-28,1,1,,NA,NA,1
31,409,d|CBMCK1-2-80|N,19-03-08,2,1,,,NA,NA,NA,,NA,NA,2
32,410,e|CBMCK1-2-80|N,19-03-08,2,1,,,NA,NA,NA,,NA,NA,1
33,401,a|CBMCK1-3-60|N,19-03-06,4,3,,,19-04-13,1,0,,NA,NA,7
34,402,b|CBMCK1-3-60|N,19-03-04,4,4,,,19-04-01,2,2,19-04-13,1,0,6
