Genotype,Moss tf,Fern
e\WSSWM3/3/80\V\i163,y,0
c\EFCC2/4/80\Q\149,y,0
c\DVGM/20\Q\119,y,3
d\NSLJU1/4/0\V\i142,y,0
c\SMITH1/20\Q\468,y,4
e\WSSWM3/1/0\Q\575,y,0
b\SMAKC1/B\N\436,y,1
e\JWBOY/2/80\Q\268,y,0
d\CRSOSO/3/40\Q\66,y,6
e\JWBOY/2/80\Q\269,y,0
e|BWPEM1-9-0|Q|28,y,0
d\MSMID1/1/20\Q\390,y,0
maple/cnt\27,y,15
b\EFCC2/4/80\Q\140,y,0
d\CBMCK1/2/80\N\i109,y,6
maple/cnt\17,y,12
c\CWRIC2/X2\Q\92,y,0
maple/cnt\19,y,15
d\JARI1/1/80\Q\182,y,1
b\MHBUR1/4/20\Q\354,y,5
d\VSGARO1/1/0\Q\540,y,2
e\CRSOSO/3/40\Q\54,y,0
d\JWBOY/2/80\Q\255,y,0
a\VRCAN/1/40\Q\489,y,0
b\MSMID1/1/20\Q\377,y,0
e\BWPEM1/9/0\Q\32,y,0
a\JARI1/1/80\Q\162,y,0
a\WSSWM3/1/0\Q\555,y,11
b\MAVBEL2/1/20\N\312,y,3
d\JWBOY/2/80\Q\261,y,0
e\SEBRN/1/20\N\i152,y,11
a\SMITH1/20\Q\456,y,15
c\MHBUR1/4/20\Q\344,y,2
e\SMITH1/1/0\Q\i159,y,1
d\MSMID1/1/20\Q\391,y,2
e\EFCC2/4/80\Q\157,y,15
d\MAVBEL2/1/20\N\325,y,8
maple/cnt\28,y,15
b\CRSOSO/3/40\Q\77,y,5
e\BWPEM1/9/0\Q\29,y,9
b\NSLJU1/4/0\V\i140,y,8
a\SMITH1/20\Q\450,y,0
c\WSSWM3/1/0\Q\567,y,0
maple/cnt\26,y,5
d\CRSOSO/3/40\Q\65,y,0
b\MAVBEL2/1/20\N\311,y,0
maple/cnt\13,y,0
c\JBCHY1/1/50\Q\243,y,0
a\JWBOY/2/80\Q\257,y,0
d\EFCC2/4/80\Q\155,y,0
e\MHNAT1/2/0\Q\365,y,0
a\WSSWM3/1/0\Q\553,y,0
a\CWRIC2/X2\Q\83,y,0
f\JBCHY1/1/50\Q\249,y,0
a\MAVBEL2/1/20\N\309,y,12
b\VRCAN/1/40\Q\488,y,0
a\SMAKC1/B\N\431,y,0
e\VSGARO1/1/0\Q\546,y,7
a\RULEB1/20\N\421,y,0
a\CRSOSO/3/40\Q\56,y,0
a\WSSWM3/1/0\Q\559,y,0
d\CRSOSO/3/40\Q\64,y,0
e\MAVBEL2/1/20\N\329,y,0
c\DVGM/20\Q\115,y,0
c\SEBRN/1/20\N\i148,y,0
b\JBBLB2/1/20\Q\202,y,0
d\MHBUR1/4/20\Q\351,y,0
e\JARI1/1/80\Q\191,y,0
maple/cnt\25,n,15
b|JBBLB2-1-20|Q|204,y,1
b\MAVBEL2/1/20\N\315,y,3
maple/cnt\12,y,15
e\JBBLB2/1/20\Q\218,y,0
b\JARI1/1/80\Q\167,y,0
d\DVGM/20\Q\121,y,0
d\JARI1/1/80\Q\184,y,2
e\SMITH1/1/0\Q\i159,y,15
b\JKFRS1/6/0\V\i121,y,0
c\WSSWM3/1/0\Q\564,y,0
a\JBBLB2/1/20\Q\195,y,15
e\PDVRT1/20\Q\418,y,0
c\SMITH1/20\Q\470,y,0
b\VRCAN/1/40\Q\484,y,4
b\MHBUR1/4/20\Q\346,y,15
d\BWPEM1/9/0\Q\20,y,1
b\VRPET2/3/20\Q\509,y,9
b\VRPET2/3/20\Q\515,y,0
f\JBCHY1/1/50\Q\246,y,2
maple/cnt\21,y,15
e\JKFRS1/6/0\V\i122,y,0
f\JBCHY1/1/50\Q\245,y,1
c\JARI1/1/80\Q\176,y,0
b\CRSOSO/3/40\Q\78,y,0
d\VRPET2/3/20\Q\514,y,12
c\VRCAN/1/40\Q\497,y,13
b\SMITH1/20\Q\464,y,15
a\JBBLB2/1/20\Q\199,y,3
c\BWPEM1/9/0\Q\11,y,15
e\DVGM/20\Q\130,y,7
c\JBCHY1/1/50\Q\225,y,15
a\DVGM/20\Q\108,y,0
maple/cnt\2,y,15
a\DVGM/20\Q\104,y,12
c\JBBLB2/1/20\Q\208,y,7
d\MAVBEL2/1/20\N\320,y,0
f\JBCHY1/1/50\Q\247,y,1
c\JBBLB2/1/20\Q\209,y,1
maple/cnt\29,y,9
d\SMAKC1/B\N\443,y,3
b\MHBUR1/4/20\Q\353,y,1
a\CWRIC2/X2\Q\99,y,10
maple/cnt\10,y,3
d\VRPET2/3/20\Q\525,y,0
b\SMITH1/20\Q\462,y,0
d\SEBRN/1/20\N\i150,y,0
b\JARI1/1/80\Q\165,y,0
c\JBCHY1/1/50\Q\231,y,14
a\CWRIC2/X2\Q\79,y,0
d\SMAKC1/B\N\435,y,0
b\VRPET2/3/20\Q\512,y,5
c\MHBUR1/4/20\Q\341,y,0
a\DVGM/20\Q\109,y,4
b\JBBLB2/1/20\Q\205,y,2
b\SMITH1/20\Q\459,y,1
d\SMITH1/20\Q\474,y,9
e\SMITH1/20\Q\475,y,0
e\WSSWM3/1/0\Q\574,y,0
a\SEBRN/1/20\N\i146,y,0
maple/cnt\11,y,0
a\MSMID1/1/20\Q\373,y,0
b\JARI1/1/80\Q\172,y,0
b\CBMCK1/1/0\N\40,y,0
a\CBMCK1/1/0\N\35,y,0
d\RULEB1/20\N\426,y,0
e\JWBOY/2/80\Q\263,y,0
c\MAVELK/1/20\N\i129,y,0
b\PDVRT1/20\Q\407,y,0
d\VSGARO1/1/0\Q\538,y,0
a\SMITH1/20\Q\457,y,0
d\MHBUR1/4/20\Q\350,y,14
maple/cnt\3,y,13
b\SMAKC1/B\N\440,y,0
d\JWBOY/2/80\Q\259,y,0
c\JBCHY1/1/50\Q\234,n,2
b\EFCC2/4/80\Q\139,y,1
b\PDVRT1/20\Q\404,y,0
