"","Genotype","Seconds1","area1","treatment","Family","Seconds2","area2","Seconds3","area3","Seconds4","area4","Seconds5","area5","RGR1","RGR2","RGR3","RGR4","GXE"
"1","a|BWPEM1-9-0|Q|1",1559082165,42519,"Alone","BWPEM1",1560374778,104992,1561486099,129485,1562946630,80727,1565367347,70668,6.99306847390373e-07,1.88677157667538e-07,-3.23506965963217e-07,-5.49755456995925e-08,"Alone-BWPEM1"
"2","a|BWPEM1-9-0|Q|2",1559063013,41855,"Alone","BWPEM1",1560365004,163863,1561475865,181903,1562939353,174362,1565358502,125557,1.04825567054306e-06,9.40197424415546e-08,-2.89308693622678e-08,-1.35739369132037e-07,"Alone-BWPEM1"
"3","a|BWPEM1-9-0|Q|3",1559082051,39522,"Alone","BWPEM1",1560374698,122624,1561486181,173262,1562946724,65098,1565367436,72296,8.7592767710112e-07,3.11009828159577e-07,-6.7023776291711e-07,4.33240202978571e-08,"Alone-BWPEM1"
"4","a|CBMCK1-1-0|N|34",1559071042,26697,"Garlic Mustard","CBMCK1",1560366160,110369,1561476984,120298,1562940647,116008,1565359999,158499,1.09586778792961e-06,7.75484689094485e-08,-2.48095657900302e-08,1.28996991716614e-07,"Garlic Mustard-CBMCK1"
"5","a|CBMCK1-1-0|N|35",1559055200,75513,"Maple","CBMCK1",1560355599,120474,1561400644,136910,1562873434,128149,1565291504,150854,3.59219851100652e-07,1.22377326939027e-07,-4.49012596646321e-08,6.74582754992005e-08,"Maple-CBMCK1"
"6","a|CBMCK1-1-0|N|36",1558972890,6764,"Maple","CBMCK1",1560269694,79034,1561389197,225007,1562859512,261377,1565279807,251142,1.89563242293417e-06,9.34569512725319e-07,1.01904895705449e-07,-1.6504307675736e-08,"Maple-CBMCK1"
"7","a|CRSOSO-3-40|Q|55",1559060194,44595,"Alone","CRSOSO",1560358099,137919,1561473777,174370,1562937385,146733,1565294203,128968,8.69897882503635e-07,2.10197675333163e-07,-1.17903748546343e-07,-5.47561573075604e-08,"Alone-CRSOSO"
"8","a|CRSOSO-3-40|Q|56",1558991915,23610,"Alone","CRSOSO",1560280833,132060,1561393947,130393,1562867363,117128,1565289624,64321,1.33568311845207e-06,-1.14124857798424e-08,-7.28142039850936e-08,-2.47446985224815e-07,"Alone-CRSOSO"
"9","a|CRSOSO-3-40|Q|57",1559056693,51034,"Garlic Mustard","CRSOSO",1560356525,107518,1561472544,110736,1562875066,124716,1565292815,153647,5.73278853070145e-07,2.64249216977037e-08,8.47688394868509e-08,8.62862981630249e-08,"Garlic Mustard-CRSOSO"
"10","a|CRSOSO-3-40|Q|58",1558994820,41649,"Garlic Mustard","CRSOSO",1560283255,82444,1561398160,97729,1562870878,99746,1565287184,100129,5.29977776341279e-07,1.52550277418036e-07,1.3871367559508e-08,1.58605736924543e-09,"Garlic Mustard-CRSOSO"
"11","a|CWRIC2-X2|Q|100",1558969970,54088,"Maple","CWRIC2",1560267907,107713,1561388380,153145,1562858253,152540,1565278067,167078,5.30732949868526e-07,3.14077092864328e-07,-2.69297298389821e-09,3.76202106887619e-08,"Maple-CWRIC2"
"12","a|CWRIC2-X2|Q|79",1558997614,26763,"Alone","CWRIC2",1560354086,109188,1561399055,139303,1562872439,118375,1565285412,54577,1.03654983704993e-06,2.33098062855451e-07,-1.10489774084901e-07,-3.20867661148884e-07,"Alone-CWRIC2"
"13","a|CWRIC2-X2|Q|80",1559058244,29645,"Maple","CWRIC2",1560357466,100717,1561473445,184898,1562876404,188732,1565293922,131332,9.41348843068452e-07,5.44355868639568e-07,1.46288648965078e-08,-1.49988356260115e-07,"Maple-CWRIC2"
"14","a|CWRIC2-X2|Q|81",1559057497,38636,"Garlic Mustard","CWRIC2",1560357056,96464,1561472720,83710,1562875289,76520,1565292980,98947,7.04073764584755e-07,-1.2710944968654e-07,-6.40298624166884e-08,1.06313093225856e-07,"Garlic Mustard-CWRIC2"
"15","a|CWRIC2-X2|Q|82",1558994715,24266,"Garlic Mustard","CWRIC2",1560283161,36019,1561397810,39447,1562870184,35670,1565287384,55303,3.06547875020373e-07,8.15605825373821e-08,-6.83576315542725e-08,1.81415338918565e-07,"Garlic Mustard-CWRIC2"
"16","a|CWRIC2-X2|Q|83",1558987952,23185,"Alone","CWRIC2",1560280405,131733,1561393558,116390,1562863213,98751,1565290026,129020,1.34416619327326e-06,-1.11243041957525e-07,-1.11825626178694e-07,1.10171612230468e-07,"Alone-CWRIC2"
"17","a|CWRIC2-X2|Q|84",1559054805,5876,"Maple","CWRIC2",1560355326,148617,1561400868,248967,1562873654,253337,1565291746,271991,2.48400161820181e-06,4.93474036188179e-07,1.18145206638311e-08,2.93819918024379e-08,"Maple-CWRIC2"
"18","a|CWRIC2-X2|Q|99",1558997119,24480,"Alone","CWRIC2",1560353719,92566,1561398949,83804,1562872306,71349,1565285808,116757,9.80440399497287e-07,-9.51380696654131e-08,-1.09204633118853e-07,2.04065098565248e-07,"Alone-CWRIC2"
"19","a|DVGM-20|Q|102",1559074416,31147,"Garlic Mustard","DVGM",1560371656,72835,1561478864,77112,1562943401,81319,1565363753,98668,6.54835401692497e-07,5.15371109861534e-08,3.62713820852482e-08,7.98978774539847e-08,"Garlic Mustard-DVGM"
"20","a|DVGM-20|Q|103",1558996224,40758,"Alone","DVGM",1560283960,107861,1561398674,111718,1562871992,118263,1565286295,106622,7.55738149517032e-07,3.15188271390229e-08,3.86427905485298e-08,-4.29196701818762e-08,"Alone-DVGM"
"21","a|DVGM-20|Q|104",1558996331,19463,"Alone","DVGM",1560284012,44605,1561398649,66073,1562871968,61263,1565286262,69809,6.44049833076133e-07,3.52504206331187e-07,-5.13019377311274e-08,5.40890502492026e-08,"Alone-DVGM"
"22","a|DVGM-20|Q|105",1558998777,17912,"Garlic Mustard","DVGM",1560354849,82915,1561399779,119099,1562873157,134598,1565284483,110272,1.12998801492075e-06,3.46567802010009e-07,8.30319702336008e-08,-8.26692522511505e-08,"Garlic Mustard-DVGM"
"23","a|DVGM-20|Q|106",1559082897,24414,"Garlic Mustard","DVGM",1560375395,44464,1561486825,42125,1562947495,41860,1565368306,55286,4.63848404216131e-07,-4.86206817591963e-08,-4.32039519855312e-09,1.14915619146607e-07,"Garlic Mustard-DVGM"
"24","a|DVGM-20|Q|107",1559083506,9915,"Garlic Mustard","DVGM",1560375683,37852,1561486914,51376,1562947598,23335,1565368388,29122,1.03672721049378e-06,2.74908924158138e-07,-5.40306293452505e-07,9.15153825350128e-08,"Garlic Mustard-DVGM"
"25","a|DVGM-20|Q|108",1558996179,34730,"Maple","DVGM",1560283931,97497,1561398698,112885,1562872018,116406,1565286330,114453,8.01565628741921e-07,1.31460648808484e-07,2.08471200897858e-08,-7.0081339883955e-09,"Maple-DVGM"
"26","a|DVGM-20|Q|109",1558997858,34159,"Garlic Mustard","DVGM",1560354334,82517,1561399331,76537,1562872690,73589,1565285107,80195,6.50198188712467e-07,-7.19906838792629e-08,-2.66593043474096e-08,3.56346397600368e-08,"Garlic Mustard-DVGM"
"27","a|DVGM-20|Q|110",1559073106,39994,"Garlic Mustard","DVGM",1560370771,93849,1561478367,95176,1562942692,103997,1565363221,109550,6.57301895953059e-07,1.26767354698712e-08,6.05290788569769e-08,2.14907623374919e-08,"Garlic Mustard-DVGM"
"28","a|JARI1-1-80|Q|158",1559057986,26021,"Garlic Mustard","JARI1",1560357271,97693,1561473079,96791,1562875685,84951,1565293543,106939,1.0181953953589e-06,-8.31316304122724e-09,-9.30264059004675e-08,9.5201603551521e-08,"Garlic Mustard-JARI1"
"29","a|JARI1-1-80|Q|159",1558997323,26629,"Garlic Mustard","JARI1",1560353912,124524,1561399167,115943,1562872575,119503,1565285647,153299,1.13704122687408e-06,-6.8308477243828e-08,2.05257366793973e-08,1.03208187339757e-07,"Garlic Mustard-JARI1"
"30","a|JARI1-1-80|Q|160",1558993370,59461,"Garlic Mustard","JARI1",1560281777,94706,1561396983,118640,1562868322,152982,1565288286,147361,3.61265283951492e-07,2.02040108887623e-07,1.72785856680872e-07,-1.5469200709853e-08,"Garlic Mustard-JARI1"
"31","a|JARI1-1-80|Q|161",1559070311,26940,"Garlic Mustard","JARI1",1560365577,72557,1561476463,87106,1562939929,86071,1565359265,128991,7.64908743745466e-07,1.64511307159341e-07,-8.16775434445084e-09,1.6722360905718e-07,"Garlic Mustard-JARI1"
"32","a|JARI1-1-80|Q|162",1558984781,20756,"Garlic Mustard","JARI1",1560277995,82111,1561391622,89011,1562861455,83313,1565282529,98687,1.06342541058603e-06,7.24551103460745e-08,-4.50087582597263e-08,6.99477281916821e-08,"Garlic Mustard-JARI1"
"33","a|JARI1-1-80|Q|163",1558972999,10829,"Garlic Mustard","JARI1",1560269862,42048,1561389237,62757,1562859574,68320,1565280113,76537,1.04605043263313e-06,3.57751694215923e-07,5.77639166430704e-08,4.69200184574727e-08,"Garlic Mustard-JARI1"
"34","a|JBBLB2-1-20|Q|194",1558969829,52044,"Maple","JBBLB2",1560267788,176459,1561388317,214809,1562858081,220379,1565277825,130320,9.40706940766221e-07,1.75507020725996e-07,1.74174426875331e-08,-2.17112152003974e-07,"Maple-JBBLB2"
"35","a|JBBLB2-1-20|Q|195",1558994302,21736,"Maple","JBBLB2",1560282828,45139,1561397536,63186,1562869792,59084,1565287708,57678,5.67141637591414e-07,3.01725779112876e-07,-4.55916616730808e-08,-9.96078518303315e-09,"Maple-JBBLB2"
"36","a|JBBLB2-1-20|Q|198",1559075057,32684,"Maple","JBBLB2",1560372010,63943,1561483198,70072,1562944177,71362,1565364596,44056,5.17448512008626e-07,8.23724008387449e-08,1.24863053637666e-08,-1.99264657410414e-07,"Maple-JBBLB2"
"37","a|JBBLB2-1-20|Q|199",1558995561,14561,"Maple","JBBLB2",1560283642,65221,1561398239,70455,1562871006,84473,1565286662,74569,1.16408423168643e-06,6.92561573227057e-08,1.23208727877071e-07,-5.16245216327161e-08,"Maple-JBBLB2"
"38","a|JWBOY-2-80|Q|251",1558974885,61353,"Garlic Mustard","JWBOY",1560270810,110912,1561390544,100557,1562860251,101130,1565280791,107971,4.56888341822462e-07,-8.75318273730376e-08,3.86613591189169e-09,2.70418396862147e-08,"Garlic Mustard-JWBOY"
"39","a|JWBOY-2-80|Q|257",1558987495,28693,"Maple","JWBOY",1560280164,117003,1561393381,126267,1562863026,124760,1565290306,132218,1.0873211819245e-06,6.84494910347048e-08,-8.16987831500127e-09,2.39198542182123e-08,"Maple-JWBOY"
"40","a|KVEDG1-1-80|Q|272",1559075218,54605,"Alone","KVEDG1",1560372152,124079,1561483079,114570,1562944048,107079,1565364467,105857,6.32871839175737e-07,-7.17711151261087e-08,-4.62837405236483e-08,-4.74205213404917e-09,"Alone-KVEDG1"
"41","a|KVEDG1-1-80|Q|273",1559079792,52649,"Alone","KVEDG1",1560372481,102790,1561483308,115291,1562944282,132667,1565364774,126804,5.1755745347686e-07,1.03320584538888e-07,9.60885424309916e-08,-1.86737415075495e-08,"Alone-KVEDG1"
"42","a|KVEDG1-1-80|Q|275",1559082023,39588,"Alone","KVEDG1",1560374671,89999,1561485798,117317,1562946253,116234,1565366876,108393,6.3534118887971e-07,2.38569590638385e-07,-6.35026215001604e-09,-2.88528570172579e-08,"Alone-KVEDG1"
"43","a|KVEDG1-1-80|Q|276",1558987050,51422,"Alone","KVEDG1",1560279857,92831,1561393167,104137,1562862778,169095,1565290519,126601,4.56923995059317e-07,1.0322974213084e-07,3.29851469007431e-07,-1.1921382000451e-07,"Alone-KVEDG1"
"44","a|KVEDG1-1-80|Q|277",1559072477,58059,"Maple","KVEDG1",1560370394,114932,1561477786,137704,1562942146,128413,1565362699,122839,5.26136042782196e-07,1.63235606581177e-07,-4.77033118444005e-08,-1.83334458563987e-08,"Maple-KVEDG1"
"45","a|MAVBEL2-1-20|N|304",1559059840,30123,"Garlic Mustard","MAVBEL2",1560357915,55623,1561473559,58885,1562876533,55442,1565293759,64768,4.72474845612478e-07,5.108224891604e-08,-4.29437466599363e-08,6.43192754661384e-08,"Garlic Mustard-MAVBEL2"
"46","a|MAVBEL2-1-20|N|305",1559057853,61560,"Maple","MAVBEL2",1560357186,163525,1561473134,151505,1562875882,158036,1565293619,136038,7.51888526556778e-07,-6.84147076226842e-08,3.00868206332411e-08,-6.1995410047592e-08,"Maple-MAVBEL2"
"47","a|MAVBEL2-1-20|N|306",1558973997,17791,"Alone","MAVBEL2",1560270346,106946,1561389594,186232,1562859907,119643,1565280298,117960,1.38360219564472e-06,4.95573075957719e-07,-3.00943336297075e-07,-5.85307279938215e-09,"Alone-MAVBEL2"
"48","a|MAVBEL2-1-20|N|307",1559057530,40298,"Garlic Mustard","MAVBEL2",1560357033,68363,1561472698,86417,1562875263,85306,1565293006,76118,4.06716954611057e-07,2.10056489284148e-07,-9.22568559336521e-09,-4.71348791916287e-08,"Garlic Mustard-MAVBEL2"
