"","Family","a","gm","m","Total"
"1","BWPEM1",10,12,10,32
"2","JARI1",10,11,10,31
"3","MSMID1",10,10,10,30
"4","JBBLB2",10,9,9,28
"5","JBCHY1",9,9,10,28
"6","KVEDG1",10,9,9,28
"7","SMITH1",10,10,8,28
"8","WSSWM3",9,9,10,28
"9","DVGM",9,9,8,26
"10","CRSORO",8,9,8,25
"11","VRPET2",9,8,8,25
"12","MAVBEL2",7,9,7,23
"13","CWRIC2",8,6,8,22
"14","MHBUR1",8,7,7,22
"15","VRCAN",7,7,8,22
"16","JWBOY1",7,7,7,21
"17","EFCC2",6,7,6,19
"18","PDRVT1",6,7,5,18
"19","SMAKC1",6,5,6,17
"20","VSGAR01",5,5,5,15
"21","CBMCK1",4,5,3,12
"22","MHNAT1",2,3,3,8
"23","RULEB1",3,3,2,8
