"","FamilyLong","a","gm","m","Total"
"1","JBCHY1-1-50",8,9,9,26
"2","JBBLB2-1-20",7,7,8,22
"3","CRSOSO-3-40",8,6,7,21
"4","SMITH1-20",4,9,8,21
"5","CWRIC2-X2",8,5,7,20
"6","DVGM-20",7,5,8,20
"7","KVEDG1-1-80",6,8,6,20
"8","MHBUR1-4-20",8,5,7,20
"9","WSSWM3-1-0",6,5,9,20
"10","JWBOY-2-80",7,6,5,18
"11","MAVBEL2-1-20",5,6,6,17
"12","VRCAN-1-40",6,4,6,16
"13","VRPET2-3-20",8,4,4,16
"14","BWPEM1-9-0",4,6,5,15
"15","EFCC2-4-80",4,4,5,13
"16","JARI1-1-80",5,5,3,13
"17","SMAKC1-B",4,4,5,13
"18","VSGARO1-1-0",5,3,5,13
"19","MSMID1-1-20",4,2,4,10
"20","CBMCK1-1-0",4,4,1,9
"21","PDVRT1-20",3,4,2,9
"22","MHNAT1-2-0",2,2,3,7
"23","RULEB1-20",2,3,1,6
