"","FamilyLong","a","gm","m","Total"
"1","BWPEM1-9-0",10,12,9,31
"2","JARI1-1-80",10,11,9,30
"3","MSMID1-1-20",10,10,10,30
"4","JBCHY1-1-50",9,9,10,28
"5","WSSWM3-1-0",9,9,10,28
"6","JBBLB2-1-20",9,9,9,27
"7","KVEDG1-1-80",9,9,9,27
"8","DVGM-20",9,9,8,26
"9","CRSOSO-3-40",8,9,8,25
"10","SMITH1-20",7,10,8,25
"11","VRPET2-3-20",9,8,8,25
"12","MAVBEL2-1-20",7,9,7,23
"13","CWRIC2-X2",8,6,8,22
"14","MHBUR1-4-20",8,7,7,22
"15","VRCAN-1-40",7,7,8,22
"16","JWBOY-2-80",7,7,6,20
"17","EFCC2-4-80",6,7,6,19
"18","PDVRT1-20",5,7,5,17
"19","SMAKC1-B",6,5,6,17
"20","VSGARO1-1-0",5,5,5,15
"21","CBMCK1-1-0",4,5,2,11
"22","MHNAT1-2-0",2,3,3,8
"23","RULEB1-20",3,3,2,8
